q_id,web_id
1,372
1,1157
1,334
1,1721
1,1775
2,1157
2,343
2,372
2,838
2,1
3,1704
3,1705
3,1762
3,1721
4,1705
4,1704
4,1758
4,478
4,1761
5,164
5,1029
5,927
5,176
5,928
6,1704
6,108
6,1753
6,1705
6,1870
7,1705
7,1473
7,1704
7,1831
7,1835
8,1159
8,872
8,1874
8,918
8,1065
9,1705
9,175
9,1704
9,934
9,921
10,1758
10,1761
10,1760
10,1774
10,1705
11,81
11,1243
11,18
11,416
11,451
12,1611
12,1526
12,1192
12,1706
12,48
13,1704
13,1749
13,938
13,1068
13,159
14,208
14,1633
14,334
14,1557
14,972
15,1064
15,741
15,1710
15,16
15,971
16,955
16,952
16,1916
16,205
16,1704
17,1704
17,108
17,372
17,1777
17,1765
18,1661
18,1157
18,745
18,774
18,761
19,437
19,1282
19,1915
19,928
19,1044
20,1157
20,428
20,102
20,843
20,752
21,114
21,1573
21,1761
21,441
21,1705
22,1704
22,532
22,1802
22,1705
22,1752
23,1704
23,1705
23,1034
23,988
23,1041
24,699
24,16
24,682
24,1089
24,741
25,1014
25,775
25,1659
25,455
25,964
26,1573
26,1064
26,741
26,1117
26,971
27,1919
27,1064
27,1304
27,1705
27,699
28,1849
28,1848
28,1847
28,1845
28,1761
29,1705
29,1704
29,478
29,1915
29,164
30,1760
30,1762
30,1884
30,1758
30,1774
31,730
31,918
31,151
31,1916
31,419
32,1705
32,1495
32,1609
32,720
32,341
33,1761
33,1705
33,1760
33,1704
33,1758
34,872
34,1874
34,1870
34,1824
34,328
35,1573
35,1157
35,1517
35,1607
35,372
36,355
36,211
36,734
36,1012
36,800
37,883
37,741
37,278
37,1344
37,737
38,1661
38,1607
38,395
38,1777
38,1765
39,1758
39,1760
39,1705
39,478
39,1924
40,1704
40,1705
40,752
40,1824
40,1018
41,699
41,971
41,682
41,616
41,1089
42,1759
42,363
42,738
42,34
42,1186
43,239
43,1003
43,1779
43,83
43,1752
44,1705
44,334
44,1064
44,971
44,1710
45,1027
45,1729
45,1011
45,782
45,800
46,1149
46,1037
46,199
46,958
46,151
47,1704
47,1527
47,1067
47,1907
47,620
48,1896
48,1884
48,1537
48,1567
48,1040
49,1705
49,396
49,1029
49,156
49,168
50,1704
50,1705
50,1034
50,1049
50,988
51,1777
51,1765
51,1661
51,741
51,1298
52,1705
52,1495
52,1748
52,1176
52,868
53,372
53,1705
53,334
53,1721
53,1775
54,1704
54,1705
54,1853
54,1900
54,1159
55,1661
55,1777
55,1765
55,374
55,372
56,1704
56,1705
56,1760
57,1157
57,745
57,1607
57,972
57,372
58,819
58,339
58,398
58,368
58,1704
59,18
59,16
59,699
59,224
59,220
60,1132
60,696
60,451
60,313
60,1057
61,326
61,1064
61,324
61,1700
61,1699
62,1704
62,1705
62,510
62,1252
62,1300
63,1071
63,1807
63,1781
63,1618
63,1602
64,1704
64,425
64,1705
64,859
64,1616
65,200
65,962
65,230
65,915
65,789
66,1705
66,1704
66,1652
66,1032
66,1766
67,1916
67,383
67,120
67,801
67,705
68,1092
68,1776
68,1757
68,98
68,922
69,1704
69,98
69,957
69,915
69,952
70,1760
70,1567
70,1155
70,1774
70,1773
71,89
71,1155
71,1627
71,1527
71,1905
72,971
72,64
72,699
72,741
72,682
73,1762
73,239
73,1003
73,83
73,1761
74,1705
74,1704
74,1202
74,1041
74,698
75,1761
75,478
75,1915
75,96
75,89
76,1705
76,1072
76,1157
76,1041
76,1029
77,1917
77,1149
77,952
77,737
77,1041
78,1705
78,1618
78,1617
78,1781
78,1801
79,1041
79,1046
79,957
79,1029
79,1761
80,1705
80,1704
80,1921
80,1760
80,1758
81,1705
81,1134
81,1123
81,1132
81,994
82,1705
82,1064
82,848
82,138
82,64
83,1704
83,398
83,319
83,957
83,928
84,1570
84,1769
84,1573
84,120
84,34
85,719
85,1674
85,928
85,752
85,759
86,825
86,741
86,699
86,224
86,220
87,18
87,1064
87,16
87,352
87,1274
88,1705
88,858
88,1768
88,1072
88,1775
89,1704
89,1705
89,1756
89,698
89,1759
90,363
90,705
90,1720
90,1157
90,1249
91,176
91,167
91,165
91,175
91,164
92,1704
92,1706
92,114
92,1821
92,1762
93,762
93,764
93,763
93,756
93,755
94,1704
94,1761
94,1762
94,1760
94,1705
95,95
95,698
95,1704
95,870
95,1072
96,1705
96,1704
96,1843
96,341
96,1842
97,1003
97,236
97,239
97,1004
97,1002
98,1071
98,868
98,1253
98,1748
98,1075
99,224
99,220
99,699
99,1064
99,616
100,1704
100,1705
100,454
100,1762
100,1758
101,435
101,433
101,1636
101,437
101,1046
102,1705
102,374
102,741
102,358
102,759
103,1704
103,1705
103,1915
103,741
104,1704
104,1884
104,1589
104,1922
104,1897
105,699
105,224
105,220
105,971
105,1710
106,1008
106,1014
106,365
106,1071
106,1075
107,672
107,239
107,1003
107,1815
107,1247
108,461
108,678
108,1311
108,393
108,745
109,603
109,1748
109,445
109,1875
109,1274
110,1704
110,1157
110,340
110,205
110,372
111,303
111,250
111,1705
111,1046
111,1704
112,937
112,159
112,165
112,1704
112,1775
113,699
113,682
113,741
113,1089
113,616
114,1155
114,1915
114,1537
114,60
114,165
115,388
115,1103
115,1284
115,1282
115,1768
116,1041
116,1025
116,142
116,1029
116,1202
117,1745
117,1527
117,1068
117,1616
117,1907
118,1777
118,1765
118,374
118,741
118,699
119,1705
119,1704
119,1798
119,1799
119,1781
120,1705
120,1704
120,393
120,441
120,678
121,901
121,1157
121,368
121,1724
121,1517
122,1705
122,1704
122,1301
122,1300
122,1865
123,425
123,151
123,964
123,952
123,988
124,363
124,1157
124,292
124,1767
124,1759
125,1800
125,345
125,279
125,1704
125,741
126,1789
126,216
126,128
126,468
126,1826
127,1705
127,1125
127,1202
127,410
127,957
128,1704
128,114
128,454
128,906
128,1762
129,372
129,1137
129,1157
129,972
129,1777
130,1766
130,1820
130,1819
130,1818
130,1159
131,819
131,1073
131,1705
131,619
131,1829
132,1705
132,1704
132,1030
132,1774
132,341
133,1705
133,1924
133,478
133,16
133,1760
134,1906
134,1029
134,1032
134,159
134,1672
135,745
135,374
135,768
135,372
135,761
136,393
136,741
136,616
136,1175
136,699
137,1759
137,1157
137,1704
137,1705
137,34
138,1704
138,1202
138,410
138,858
138,1671
139,153
139,918
139,957
139,913
139,915
140,1762
140,1706
140,1810
140,239
140,1752
141,1704
141,1929
141,1592
141,1721
141,1299
142,1704
142,1589
142,1922
142,1897
142,1662
143,1029
143,175
143,921
143,164
143,1025
144,1704
144,169
144,1026
144,1094
144,1705
145,409
145,16
145,24
145,1064
145,1895
146,224
146,220
146,699
146,1089
146,616
147,1155
147,1915
147,1567
147,1537
147,89
148,102
148,1886
148,1629
148,1820
148,1819
149,1157
149,277
149,415
149,1
149,861
150,1800
150,344
150,1143
150,279
150,440
151,1704
151,851
151,1873
151,425
151,768
152,1066
152,1113
152,1070
152,1067
152,866
153,1704
153,1030
153,1041
153,1915
153,289
154,971
154,224
154,220
154,699
154,1710
155,1704
155,1705
155,693
155,1726
155,1601
156,270
156,699
156,16
156,224
156,220
157,363
157,205
157,918
157,1157
157,1720
158,1704
158,1071
158,1705
158,1537
158,1807
159,1704
159,1726
159,693
159,1758
159,1762
160,1029
160,982
160,1046
160,1648
160,1052
161,1705
161,1704
161,1748
161,868
161,1071
162,1704
162,102
162,37
162,1072
162,1705
163,1704
163,1761
163,1706
163,1567
163,1760
164,1705
164,1704
164,813
164,1507
164,1761
165,1760
165,1705
165,1758
165,1761
165,301
166,1015
166,828
166,888
166,1877
166,34
167,98
167,102
167,1516
167,1541
167,1552
168,396
168,327
168,284
168,175
168,167
169,1812
169,1837
169,1833
169,1828
169,1014
170,1705
170,1157
170,372
170,392
170,741
171,1065
171,128
171,165
171,893
171,872
172,1761
172,1705
172,1537
172,1760
172,1567
173,1729
173,815
173,745
173,828
173,721
174,1115
174,1546
174,1028
174,1155
174,1537
175,866
175,899
175,715
175,1819
175,1818
176,1163
176,605
176,784
176,851
176,1728
177,56
177,1704
177,918
177,1049
177,913
178,1704
178,1705
178,1537
178,1761
178,1155
179,1064
179,96
179,1635
179,1261
179,1870
180,250
180,759
180,1602
180,1104
180,303
181,727
181,726
181,1157
181,1650
181,34
182,1573
182,16
182,10
182,634
182,1570
183,1155
183,1915
183,1603
183,89
183,396
184,1705
184,437
184,1282
184,848
184,1283
185,861
185,282
185,1517
185,1745
185,1597
186,1704
186,1155
186,1886
186,1894
186,1762
187,1760
187,321
187,102
187,409
187,97
188,1705
188,1761
188,1760
188,1762
188,1704
189,1710
189,224
189,220
189,616
189,682
190,759
190,437
190,250
190,1104
190,1046
191,1705
191,1758
191,1066
191,1609
191,1495
192,1704
192,1034
192,1041
192,1705
192,1157
193,1705
193,388
193,1282
193,1495
193,334
194,1705
194,102
194,37
194,1539
194,1762
195,1704
195,1705
195,510
195,1495
195,759
196,1704
196,1762
196,1071
196,1705
196,811
197,1064
197,741
197,1159
197,1710
197,971
198,1773
198,957
198,205
198,1674
198,1794
199,1752
199,1249
199,1157
199,705
199,1760
200,1761
200,1704
200,1705
200,1774
200,1758
201,1029
201,1202
201,410
201,1039
201,1041
202,1277
202,1157
202,1620
202,1025
202,1041
203,224
203,220
203,971
203,699
203,1710
204,1607
204,1157
204,759
204,1705
204,761
205,1705
205,1704
205,1799
205,1781
205,1798
206,1705
206,1760
206,699
206,224
206,220
207,1705
207,1704
207,383
207,16
207,1821
208,1704
208,1705
208,692
208,1726
208,1601
209,37
209,927
209,1518
209,1623
209,1705
210,1046
210,957
210,1149
210,736
210,728
211,1704
211,1705
211,1760
211,1758
211,1762
212,1704
212,1924
212,1705
212,1552
212,1532
213,1704
213,1884
213,114
213,1589
213,1926
214,1704
214,1761
214,1705
214,1774
214,1760
215,1705
215,1519
215,1904
215,89
215,1760
216,291
216,1926
216,1040
216,1910
216,1067
217,682
217,1089
217,971
217,699
217,1672
218,1704
218,1899
218,1031
218,1775
218,1924
219,764
219,763
219,756
219,755
219,754
220,1618
220,108
220,1721
220,762
220,763
221,334
221,1721
221,1159
221,340
221,972
222,1705
222,1013
222,1760
222,1801
222,1781
223,1705
223,1704
223,1775
224,1704
224,1761
224,1567
224,1775
224,1769
225,1157
225,928
225,1473
225,752
225,848
226,411
226,412
226,417
226,1064
226,971
227,1029
227,924
227,1705
227,175
227,1036
228,1704
228,1705
228,1762
228,1760
229,1705
229,1573
229,1720
229,1517
229,828
230,1704
230,1705
230,958
230,199
230,1775
231,1919
231,971
231,699
231,224
231,220
232,1705
232,1704
232,1761
232,1775
232,873
233,1704
233,1760
233,1705
233,114
233,1758
234,1759
234,906
234,1517
234,1799
234,1764
235,1704
235,16
235,1517
235,1873
235,1836
236,1704
236,1705
236,1636
236,1762
236,1760
237,1705
237,1674
237,1065
237,1927
237,878
238,1762
238,232
238,1002
238,239
238,1003
239,1788
239,435
239,1704
239,1791
239,432
240,334
240,758
240,1900
240,1159
240,1704
241,277
241,468
241,416
