q_id,web_id
1,372
1,334
1,1721
1,1159
1,741
2,372
2,1
2,25
2,741
2,699
3,1704
3,1705
4,1705
4,1758
4,1704
4,1761
5,927
5,928
5,934
5,1041
5,1029
6,1704
6,1753
6,1705
6,1874
6,1777
7,1705
7,1831
7,1872
7,1830
7,1871
8,872
8,1874
8,1159
8,1065
8,1870
9,1705
9,1704
9,1753
9,1029
10,1760
10,1774
10,1761
10,1704
11,18
11,81
11,451
11,1243
11,682
12,1611
12,1526
12,1192
12,463
12,1815
13,1704
13,1068
13,159
13,698
14,334
14,1557
14,972
14,372
14,741
15,1064
15,971
15,682
15,1089
15,616
16,955
16,952
16,1651
16,358
16,138
17,108
17,372
17,1777
17,1765
17,819
18,745
18,761
18,750
18,768
18,741
19,437
19,1282
19,1915
19,138
20,1157
20,843
20,762
20,1704
20,1257
21,441
21,16
21,1246
21,682
21,1089
22,1704
22,1705
22,1752
22,1259
23,1704
23,1705
23,1041
23,138
23,358
24,16
24,682
24,1089
24,741
24,616
25,775
25,964
25,1014
25,739
25,1871
26,1064
26,971
26,699
26,682
26,1182
27,1064
27,1304
27,699
27,971
27,682
28,1845
28,1847
28,98
28,1321
28,878
29,1704
29,1705
29,1915
30,1884
30,1758
30,1774
30,1760
30,1762
31,918
31,1916
31,205
31,915
31,964
32,1705
32,1609
32,1014
32,1290
33,1705
33,1760
33,1761
33,1704
34,1874
34,1870
34,328
34,1159
34,334
35,1157
35,1517
35,745
35,626
35,741
36,211
36,800
36,1001
36,185
36,441
37,883
37,741
37,737
37,616
37,64
38,1607
38,1064
38,741
38,971
38,682
39,1705
39,478
39,1924
39,1760
40,1704
40,334
40,1705
40,1916
41,682
41,616
41,1089
41,741
41,1182
42,1759
42,363
42,1186
42,313
42,1117
43,83
43,1762
43,1790
43,1761
43,1861
44,334
44,1064
44,971
44,64
44,741
45,1011
45,782
45,1647
45,721
45,384
46,199
46,151
46,967
46,152
46,1029
47,1704
47,1527
47,1907
47,1705
48,1896
48,1537
48,1567
48,1040
48,1067
49,156
49,168
49,1881
49,1031
49,1880
50,1704
50,1705
50,1041
50,138
50,358
51,1661
51,1777
51,1765
51,741
51,138
52,1748
52,1176
52,868
52,1301
52,814
53,372
53,334
53,1721
53,1159
53,741
54,1704
54,1900
54,1159
54,1934
55,1777
55,1765
55,372
55,741
55,363
56,1704
56,1705
57,1157
57,1607
57,972
57,372
57,1705
58,339
58,398
58,368
58,1704
58,334
59,18
59,699
59,220
59,224
59,682
60,696
60,1132
60,440
60,1023
60,1273
61,1064
61,324
61,1700
61,741
61,971
62,1704
62,1705
63,1618
63,1071
63,1602
63,1801
63,1807
64,425
64,1704
64,878
64,1029
64,1626
65,962
65,915
65,789
65,1761
65,1788
66,1652
66,1032
66,369
66,1705
66,1018
67,383
67,120
67,1916
67,781
67,292
68,98
68,1083
68,793
68,1823
68,1704
69,1704
69,952
69,211
69,139
69,138
70,1567
70,1760
70,1761
70,1758
70,1762
71,1155
71,1627
71,1527
71,1905
71,1705
72,971
72,64
72,741
72,616
72,224
73,239
73,83
73,1761
73,411
73,1846
74,1704
74,698
74,1029
74,1072
74,1705
75,1915
75,96
75,89
75,102
75,1704
76,1072
76,1157
76,1041
76,164
76,138
77,1149
77,1052
77,211
77,358
77,138
78,1705
78,1801
78,1761
79,1041
79,1029
79,159
79,937
79,138
80,1760
80,1758
80,1704
80,1596
80,1705
81,1705
81,1132
81,1089
81,616
82,1705
82,138
