q_id,web_id
1,1705
1,1704
1,372
1,1157
1,1758
2,741
2,372
2,699
2,25
2,1
3,1705
3,1704
3,1762
3,1721
3,1774
4,1705
4,1704
4,1758
4,1752
4,1761
5,1029
5,1041
5,164
5,1025
5,915
6,1705
6,1704
6,1777
6,1765
6,1753
7,1705
7,1704
7,1872
7,1830
7,1831
8,1159
8,1704
8,761
8,334
8,1674
9,1705
9,1704
9,924
9,1029
9,175
10,1705
10,1704
10,1760
10,1762
10,1761
11,1704
11,1762
11,1243
11,81
11,1758
12,1910
12,465
12,461
12,1704
12,1705
13,1704
13,1705
13,1761
13,938
13,1762
14,372
14,1157
14,1704
14,1705
14,334
15,7
15,616
15,682
15,1064
15,971
16,1018
16,981
16,955
16,138
16,1651
17,1704
17,1705
17,1758
17,1787
17,1777
18,1704
18,1705
18,90
18,761
18,741
19,1705
19,437
19,1704
19,1766
19,752
20,1157
20,843
20,1704
20,762
20,1257
21,1704
21,1705
21,1761
21,1760
21,1758
22,1704
22,1705
22,1752
22,1259
22,532
23,1705
23,1704
23,1034
23,1037
23,1046
24,1705
24,1704
24,616
24,682
24,16
25,1014
25,1705
25,175
25,1871
25,775
26,349
26,801
26,682
26,1182
26,699
27,1705
27,1770
27,1152
27,1304
27,682
28,1774
28,96
28,97
28,1705
28,1761
29,1705
29,1704
29,1761
29,1762
29,1775
30,1704
30,1705
30,1760
30,1761
30,1762
31,1916
31,964
31,915
31,205
31,918
32,1705
32,1704
32,1769
32,1132
32,1609
33,1704
33,1705
33,1760
33,1762
33,1761
34,1159
34,334
34,1704
34,1705
34,789
35,1788
35,741
35,1157
35,1517
35,745
36,1705
36,1704
36,1875
36,349
36,1790
37,224
37,285
37,1704
37,475
37,1705
38,1705
38,1704
38,1607
38,682
38,741
39,1705
39,1704
39,1752
39,1760
39,1758
40,1704
40,1705
40,334
40,1159
40,752
41,616
41,741
41,1089
41,1182
41,682
42,1704
42,1705
42,1759
42,1117
42,313
43,1790
43,1791
43,1762
43,1792
43,1704
44,1704
44,1705
44,1297
44,334
44,741
45,384
45,721
45,1011
45,1647
45,782
46,1029
46,164
46,988
46,199
46,152
47,1704
47,1705
47,1527
47,1907
47,1745
48,1704
48,1705
48,379
48,1761
48,1762
49,1705
49,156
49,169
49,167
49,1132
50,1705
50,1704
50,1034
50,1037
50,211
51,1704
51,1705
51,1765
51,1777
51,1159
52,1705
52,1753
52,1704
52,868
52,1752
53,1705
53,1704
53,372
53,1761
53,1721
54,1704
54,1705
54,334
54,1934
54,1159
55,1704
55,1705
55,1765
55,334
55,363
56,1704
56,1705
56,1758
56,1760
56,1762
57,1705
57,372
57,1137
57,363
57,972
58,1705
58,1704
58,334
58,1129
58,692
59,1704
59,1705
59,1762
59,224
59,220
60,1132
60,1705
60,1123
60,333
60,1762
61,741
61,971
61,324
61,1064
