q_id,web_id
1,1159
1,1567
1,1157
1,1762
1,1758
2,861
2,25
2,1567
2,468
2,1517
3,116
3,1889
3,850
3,1410
3,565
4,1495
4,114
4,1434
4,1438
4,478
5,927
5,1041
5,1029
5,1202
5,735
6,1874
6,1824
6,1870
6,494
6,560
7,1830
7,1826
7,1834
7,1872
7,1874
8,1673
8,892
8,374
8,761
8,759
9,886
9,560
9,1592
9,927
9,1929
10,1434
10,16
10,114
10,1504
10,464
11,1772
11,1707
11,1878
11,836
11,81
12,1192
12,114
12,1611
12,1604
12,1937
13,1724
13,1620
13,1783
13,926
13,901
14,1567
14,1159
14,1157
14,891
14,872
15,1878
15,1707
15,1806
15,1772
15,1883
16,1630
16,264
16,1649
16,261
16,735
17,886
17,901
17,1881
17,484
17,1894
18,761
18,759
18,1517
18,1825
18,1859
19,1915
19,425
19,1495
19,848
19,303
20,46
20,1249
20,1157
20,1594
20,1517
21,1772
21,1878
21,1707
21,16
21,114
22,579
22,532
22,588
22,1773
22,1346
23,1932
23,1157
23,1428
23,1933
23,1034
24,1878
24,1707
24,1708
24,588
24,579
25,1929
25,735
25,739
25,1830
25,1825
26,1878
26,1707
26,1006
26,47
26,595
27,511
27,1506
27,1018
27,835
27,163
28,1321
28,874
28,93
28,1072
28,100
29,1915
29,1567
29,1772
29,513
29,1438
30,1884
30,1904
30,1589
30,1564
30,1532
31,745
31,735
31,773
31,1721
31,732
32,1495
32,114
32,1238
32,1032
32,408
33,114
33,1434
33,16
33,1504
33,464
34,1159
34,892
34,893
34,1901
34,1673
35,1517
35,1830
35,1834
35,629
35,623
36,723
36,1012
36,1444
36,796
36,1902
37,1878
37,1707
37,305
37,1057
37,104
38,1567
38,1811
38,1706
38,1810
38,511
39,1884
39,1899
39,1588
39,1552
39,1529
40,1721
40,1900
40,759
40,761
40,1824
41,1878
41,1707
41,1708
41,1772
41,1806
42,1369
42,468
42,901
42,73
42,954
43,1861
43,1846
43,625
43,1855
43,1841
44,1707
44,1878
44,1436
44,1687
44,1265
45,1063
45,1267
45,1007
45,1244
45,423
46,729
46,732
46,1620
46,1680
46,1651
47,1646
47,1529
47,1519
47,1532
47,1561
48,1896
48,1567
48,1894
48,1884
48,1627
49,1934
49,1447
49,1728
49,1206
49,1920
50,1932
50,1933
50,1428
50,1034
50,1041
51,1506
51,1186
51,374
51,1474
51,1159
52,1301
52,128
52,159
52,158
52,157
53,1159
53,1157
53,1567
53,1832
53,1570
54,1934
54,1929
54,1900
54,1473
54,1811
55,1474
55,1490
55,363
55,1506
55,1159
56,1529
56,1521
56,1646
56,1904
56,1532
57,1186
57,886
57,1607
57,872
57,901
58,1249
58,334
58,1645
58,773
58,92
59,595
59,579
59,1772
59,587
59,593
60,1639
60,1728
60,1588
60,1727
60,815
61,324
61,1186
61,1117
61,1808
61,1859
62,1830
62,1874
62,1824
62,1826
62,1870
63,1618
63,1613
63,1514
63,1453
63,891
64,1567
64,1072
64,1626
64,870
64,874
65,1567
65,837
65,1758
65,1762
65,581
66,1018
66,1495
66,1322
66,1919
66,1325
67,120
67,216
67,1673
67,1344
67,723
68,793
68,420
68,1028
68,425
68,1313
69,1915
69,1630
69,1929
69,1649
69,1592
70,1567
70,1760
70,1761
70,1758
70,1762
71,1896
71,1627
71,43
71,1892
71,1894
72,1878
72,1707
72,1708
72,1806
72,1883
73,1846
73,1861
73,625
73,132
73,1855
74,1072
74,1927
74,1915
74,1783
74,1065
75,1915
75,1899
75,1561
75,1524
75,1536
76,1065
76,1072
76,1029
76,1927
76,1620
77,1917
77,737
77,1874
77,729
77,1651
78,115
78,1514
78,581
78,1617
78,1604
79,1029
79,1065
79,1620
79,1927
79,289
80,1596
80,1032
80,1447
80,1067
80,106
81,1916
81,1707
81,1878
81,1524
81,1559
82,1826
82,511
82,1502
82,514
82,1436
83,92
83,1901
83,374
83,848
83,773
84,1570
84,468
84,1488
84,547
84,1859
85,420
85,773
85,771
85,1901
85,425
86,1878
86,1707
86,1806
86,579
86,1883
87,1878
87,1707
87,1772
87,1806
87,1567
88,1567
88,1762
88,1758
88,1623
88,1072
89,1379
89,1447
89,1369
89,1432
89,1366
90,1157
90,547
90,1249
90,551
90,891
91,871
91,1201
91,425
91,420
91,904
92,114
92,1604
92,58
92,57
92,54
93,579
93,588
93,590
93,587
93,593
94,1726
94,1724
94,554
94,1113
94,1884
95,95
95,93
95,870
95,873
95,1072
96,1772
96,579
96,1824
96,1870
96,508
97,264
97,903
97,735
97,1010
97,1915
98,103
98,868
98,1671
98,1901
98,1174
99,1878
99,1707
99,1717
99,1708
99,1806
100,554
100,535
100,114
100,1620
100,16
101,1131
101,283
101,1076
101,1077
101,1018
102,1474
102,1825
102,761
102,759
102,1490
103,1915
103,1865
