q_id,web_id
2692,938
2692,1118
2692,1516
2692,1552
2692,1553
6473,224
6473,220
6473,699
6473,825
6473,741
6559,1705
6559,1704
6559,813
6559,18
6559,510
2418,18
2418,1176
2418,277
2418,332
2418,618
4337,1705
4337,697
4337,1795
4337,361
4337,310
2459,937
2459,1704
2459,1620
2459,1705
2459,1025
3290,1713
3290,1746
3290,811
3290,1533
3290,1068
2111,16
2111,1190
2111,971
2111,699
2111,403
2674,1705
2674,1704
2674,1761
2674,1557
2674,1609
4858,1553
4858,1530
4858,1023
4858,799
4858,845
4142,149
4142,147
4142,938
4142,915
4142,1916
1211,1760
1211,1884
1211,1752
1211,1489
1211,1886
1415,1704
1415,1705
1415,124
1415,1889
1415,1616
1567,918
1567,1046
1567,1052
1567,152
1567,738
5625,1769
5625,1768
5625,1705
5625,1704
5625,1774
5112,1705
5112,1627
5112,1527
5112,1905
5112,1807
2719,1895
2719,1015
2719,1526
2719,828
2719,888
248,18
248,1910
248,16
248,1064
248,1243
3594,888
3594,1822
3594,1570
3594,1774
3594,1526
1554,745
1554,1249
1554,1609
1554,1705
1554,1832
2523,1137
2523,1910
2523,383
2523,1180
2523,1064
5005,1705
5005,692
5005,1704
5005,121
5005,1902
6556,1705
6556,1760
6556,1704
6556,1761
6556,1758
6585,1705
6585,1704
6585,1760
6585,1762
6585,1761
3985,1649
3985,1704
3985,1027
3985,1837
3985,1833
436,1705
436,957
436,1916
436,988
436,928
2471,1705
2471,952
2471,1651
2471,981
2471,955
6716,699
6716,971
6716,224
6716,220
6716,64
536,1705
536,1034
536,1704
536,1756
536,728
2264,1704
2264,1201
2264,102
2264,411
2264,794
2021,1704
2021,1896
2021,1622
2021,1762
2021,1522
2437,1705
2437,1758
2437,1704
2437,1543
2437,478
3800,383
3800,398
3800,1824
3800,163
3800,1134
229,1705
229,1573
229,368
229,268
229,1720
3484,918
3484,670
3484,620
3484,470
3484,1049
748,1135
748,325
748,360
748,1136
748,1125
922,1810
922,1706
922,658
922,176
922,167
3593,1044
3593,1537
3593,1817
3593,1816
3593,1616
512,1157
512,1609
512,886
512,918
512,972
928,1705
928,1527
928,1529
928,1537
928,1155
3867,662
3867,1701
3867,881
3867,415
3867,416
6647,388
6647,1787
6647,1786
6647,1161
6647,1022
3115,334
3115,1704
3115,1159
3115,398
3115,1721
2900,1705
2900,1761
2900,1704
2900,1885
2900,1588
4377,1311
4377,1704
4377,1920
4377,1705
4377,1919
735,1704
735,175
735,937
735,1046
735,159
1189,1752
1189,284
1189,369
1189,391
1189,1271
1941,1159
1941,1704
1941,1900
1941,1495
1941,1123
474,1705
474,915
474,179
474,849
474,851
2272,757
2272,762
2272,741
2272,769
2272,767
4311,1704
4311,1191
4311,109
4311,1068
4311,1020
2575,1704
2575,1705
2575,341
2575,1754
2575,1786
4768,1704
4768,1758
4768,1760
4768,1705
4768,377
32,1705
32,396
32,1495
32,1706
32,125
3642,1704
3642,1705
3642,1775
3642,1761
3642,1067
6025,153
6025,214
6025,149
6025,952
6025,137
3341,1753
3341,1134
3341,1924
3341,478
3341,441
5928,1149
5928,1048
5928,1025
5928,1059
5928,1199
1282,1746
1282,904
1282,872
1282,758
1282,1128
1080,1284
1080,1055
1080,957
1080,34
1080,981
2023,96
2023,60
2023,98
2023,880
2023,1030
2534,1760
2534,657
2534,16
2534,1761
2534,1762
6803,1800
6803,37
6803,1886
6803,687
6803,321
469,861
469,277
469,89
469,25
469,1239
4099,1705
4099,1704
4099,1033
4099,1025
4099,1018
5830,1155
5830,1704
5830,1820
5830,1819
5830,1818
3367,265
3367,1664
3367,1283
3367,1264
3367,437
18,205
18,1720
18,1661
18,1157
18,745
97,232
97,1003
97,236
97,239
97,1004
2446,205
2446,1720
2446,1721
2446,364
2446,395
1658,1573
1658,409
1658,16
1658,1064
1658,971
1047,1705
1047,1704
1047,1758
1047,759
1047,1795
157,363
157,915
157,745
157,205
157,918
3661,1704
3661,1904
3661,1884
3661,1489
3661,1889
4980,1690
4980,1705
4980,125
4980,1126
4980,1124
1386,618
1386,383
1386,1064
1386,16
1386,224
5418,1705
5418,1024
5418,1704
5418,399
5418,1735
320,1034
320,1037
320,1931
320,151
320,1932
2292,1704
2292,168
2292,396
2292,390
2292,1032
3833,918
3833,1049
3833,240
3833,977
3833,939
3672,1704
3672,1761
3672,1277
3672,1758
3672,1774
6799,752
6799,1704
6799,334
6799,759
6799,1159
322,1243
322,18
322,1748
322,1242
322,81
1616,1157
1616,1569
1616,363
1616,861
1616,906
426,1704
426,1705
426,1300
426,1811
426,452
6293,1064
6293,741
6293,1710
6293,1182
6293,1705
1298,1916
1298,1027
1298,383
1298,1681
1298,605
5524,1704
5524,1840
5524,1842
5524,1841
5524,1810
1666,1704
1666,1761
1666,1896
1666,1537
1666,1567
3451,1704
3451,108
3451,1874
3451,1870
3451,1824
3152,1159
3152,374
3152,398
3152,334
3152,1721
4314,1705
4314,1704
4314,862
4314,921
4314,54
448,1704
448,1760
448,1705
448,1752
448,761
1056,1705
1056,1704
1056,1753
1056,179
1056,139
5504,124
5504,1025
5504,919
5504,1277
5504,1761
2250,1052
2250,1149
2250,352
2250,1046
2250,957
473,1014
473,175
473,407
473,406
473,928
4819,1705
4819,646
4819,1760
4819,1924
4819,478
81,1705
81,1134
81,1123
81,441
81,1132
5922,705
5922,957
5922,775
5922,1705
5922,945
1579,1758
1579,83
1579,1881
1579,1161
1579,1762
3996,976
3996,1055
3996,223
3996,923
3996,213
1804,1700
1804,409
1804,121
1804,60
1804,102
3310,1267
3310,1896
3310,1314
3310,1192
3310,1606
5129,1554
5129,1489
5129,1532
5129,1527
5129,1904
6860,1636
6860,605
6860,1284
6860,1273
6860,1936
5463,1250
5463,642
5463,211
5463,1321
5463,64
2035,1705
2035,1704
2035,1760
2035,1884
2035,478
6929,1704
6929,1705
6929,1880
6929,1072
6929,1157
6710,1489
6710,1910
6710,1532
6710,1526
6710,1536
6252,1704
6252,1769
6252,1705
6252,1774
6252,888
1919,1006
1919,1157
1919,1041
1919,738
1919,1932
2723,1618
2723,769
2723,767
2723,766
2723,764
958,16
958,825
958,1856
958,616
958,1710
2119,205
2119,872
2119,893
2119,98
2119,1157
1633,1705
1633,1704
1633,396
1633,1915
1633,1761
1039,445
1039,769
1039,767
1039,766
1039,764
5122,1704
5122,1705
5122,1896
5122,1627
5122,1537
6138,938
6138,1118
6138,1516
6138,1553
6138,126
5876,1812
5876,240
5876,1002
5876,1004
5876,236
94,1704
94,1760
94,1761
94,1705
94,1762
6205,97
6205,681
6205,1720
6205,31
6205,1143
3488,1704
3488,1705
3488,1760
3488,1775
3488,927
5703,628
5703,1064
5703,614
5703,1028
5703,165
2922,1750
2922,173
2922,414
2922,170
2922,158
4458,1705
4458,455
4458,1821
4458,454
4458,1721
3622,1705
3622,425
3622,96
3622,1704
3622,922
4092,1704
4092,1705
4092,937
4092,159
4092,171
477,1705
477,1704
